SURVEY:   DES
SNID:             77022  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       34.500000  # deg (avg among obs)
DEC:      -5.500000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0227 +- 0.0036  # MW E(B-V) 
MWXT_MAG:  0.097 0.064 0.047 0.036  # MW mag-XT per band
PEAKMJD:  56182.305     # estimate for LC fit codes
MJD_TRIGGER:       56177.172  
MJD_DETECT_FIRST:  56176.176  
MJD_DETECT_LAST:   56247.223  

REDSHIFT_HELIO:   0.481768 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.480548 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           1    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.48158 
SIM_REDSHIFT_CMB:    0.48036  
SIM_REDSHIFT_HOST:   0.48158 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            42.1479   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              34.500000     # deg  
SIM_DEC:             -5.500000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0265   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.116     # coh model scatter 
SIM_PEAKMJD:         56181.391    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.6038e-05 
SIM_SALT2x1:         1.2415 
SIM_SALT2c:          0.0041 
SIM_SALT2mB:         22.6221 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.1740  # spectro-search efficiency 
SIM_TRESTMIN:        -3.52  # days 
SIM_TRESTMAX:        68.09  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  23.570 22.585 22.620 22.677  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 75 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56176.1760 DES-g deep2  4.49683e+01  4.9149e+00 4096  1.000 32.980  2.00 1.068e+02  23.4480 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56177.1719
OBS: 56177.1720 DES-r deep2  9.85355e+01  3.6311e+00 4096  1.000 34.390  4.28 1.352e+02  22.5985 
OBS: 56177.1880 DES-i deep2  7.37244e+01  8.7765e+00 4096  1.000 34.530  4.99 3.214e+02  22.6721 
OBS: 56177.2110 DES-z deep2  7.80010e+01  4.7984e+00 4096  1.000 35.660  3.85 6.450e+02  22.7421 
OBS: 56180.1720 DES-g deep2  3.74171e+01  2.3055e+00 4096  1.000 33.010  2.09 4.763e+01  23.5174 
OBS: 56180.3280 DES-r deep2  9.33056e+01  2.5738e+00 4096  1.000 34.320  2.73 1.399e+02  22.5793 
OBS: 56180.3440 DES-i deep2  9.40234e+01  3.5706e+00 4096  1.000 34.430  2.49 2.376e+02  22.6270 
OBS: 56185.1520 DES-z deep2  8.26934e+01  2.2136e+00 4096  1.000 35.470  1.58 6.059e+02  22.6692 
OBS: 56189.1480 DES-g deep2  2.25028e+01  9.9937e+00    0  1.000 31.820  3.09 4.763e+01  24.0166 
OBS: 56189.1600 DES-r deep2  8.25949e+01  3.9218e+00 4096  1.000 33.690  2.42 1.352e+02  22.7456 
OBS: 56189.1760 DES-i deep2  8.75041e+01  8.1014e+00    0  1.000 33.380  2.24 2.286e+02  22.6930 
OBS: 56189.2270 DES-z deep2  7.81475e+01  4.2595e+00 4096  1.000 35.090  2.15 6.059e+02  22.7267 
OBS: 56194.1210 DES-g deep2  1.41137e+01  3.8363e+00    0  1.000 32.670  2.03 6.128e+01  24.3902 
OBS: 56194.1290 DES-r deep2  6.92725e+01  2.3870e+00 4096  1.000 34.150  2.16 1.402e+02  22.9325 
OBS: 56200.2340 DES-i deep2  6.35505e+01  7.6858e+00 4096  1.000 34.620  2.34 6.524e+02  23.0765 
OBS: 56201.1560 DES-z deep2  5.14564e+01  4.5600e+00 4096  1.000 35.560  2.64 8.155e+02  23.1733 
OBS: 56208.1600 DES-g deep2  4.64564e+00  1.5341e+00    0  1.000 33.030  1.44 4.763e+01  25.6569 
OBS: 56208.1760 DES-r deep2  3.24512e+01  1.2736e+00 4096  1.000 34.470  1.60 1.352e+02  23.8123 
OBS: 56210.1560 DES-i deep2  3.89241e+01  3.5337e+00 4096  1.000 34.590  2.98 2.286e+02  23.4217 
OBS: 56214.1800 DES-z deep2  4.66975e+01  2.0839e+00 4096  1.000 35.540  1.59 6.059e+02  23.4080 
OBS: 56217.1720 DES-g deep2  2.30166e+00  1.2826e+00    0  1.000 32.950  1.12 4.763e+01  26.3835 
OBS: 56217.1910 DES-r deep2  1.81456e+01  9.8241e-01 4096  1.000 34.430  1.19 1.352e+02  24.4509 
OBS: 56219.2300 DES-i deep2  3.78840e+01  1.6495e+00 4096  1.000 34.590  1.38 2.286e+02  23.6850 
OBS: 56221.0470 DES-z deep2  4.64055e+01  7.7867e+00    0  1.000 35.000  3.59 6.115e+02  23.4553 
OBS: 56221.3240 DES-g deep2  1.07516e+01  1.2481e+01    0  1.000 31.100  1.99 4.763e+01  26.6663 
OBS: 56221.3400 DES-r deep2  1.94556e+01  1.3484e+01    0  1.000 32.160  2.05 1.352e+02  24.6754 
OBS: 56222.0470 DES-i deep2  4.01658e+01  6.5334e+00    0  1.000 34.100  3.41 2.355e+02  23.7680 
OBS: 56228.0310 DES-g deep2 -7.38131e-01  2.6161e+01    0  1.000 31.510  1.67 1.773e+02  26.7880 
